,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,23.75,0.21,0.46,2.48,5.79,0.24,1.44,1.02,1.13,1.05,0.77
TEMP_0,0.21,40.6,4.97,0.29,0.31,3.98,0.74,0.98,0.88,0.95,1.29
PRES_1,0.58,2.3,41.32,0.23,0.57,1.93,0.86,1.03,1.07,0.91,1.04
PRES_0,4.98,0.23,0.12,53.4,6.55,0.19,1.43,0.94,0.89,1.19,0.93
DEWP_1,3.43,0.41,0.54,1.99,49.94,0.15,4.91,0.68,0.76,1.4,1.05
DEWP_0,0.24,10.97,8.12,0.25,0.1,80.03,0.42,1.77,1.75,0.6,0.92
WSPM_0,1.05,0.95,0.96,1.02,1.16,0.83,4.3,0.73,0.85,1.14,1.09
WSPM_1,0.74,1.4,1.36,0.87,0.45,2.95,0.16,7.55,4.31,0.47,0.53
PM10_0,0.98,0.94,1.1,0.85,0.76,1.4,0.57,1.88,14.9,0.41,0.21
PM10_1,1.17,0.96,0.83,1.22,1.67,0.6,35.33,0.46,0.39,12.33,1.08
PM10_2,0.6,2.09,1.2,1.24,0.93,0.85,4.57,0.1,0.02,1.21,65.98
