,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,34.7,0.45,3.35,0.45,0.56,2.69,2.69,1.31,1.3,1.07
TEMP_0,0.26,17.44,0.36,3.42,4.35,0.27,0.51,0.73,0.73,0.9
PRES_0,3.97,0.58,37.17,0.31,0.62,2.33,2.17,1.12,0.97,1.1
PRES_1,0.29,5.88,0.16,45.09,4.96,0.22,0.49,0.83,1.06,0.84
DEWP_0,0.5,3.74,0.5,2.22,23.93,0.26,0.56,0.89,0.96,0.97
DEWP_1,8.34,0.34,6.4,0.33,0.25,64.83,,1.18,1.06,1.05
WSPM_0,0.99,0.97,0.99,1.04,0.9,1.04,3.98,0.77,0.82,1.01
WSPM_1,1.03,1.06,1.01,0.92,1.26,0.92,0.4,2.21,1.66,0.97
PM10_0,0.94,0.94,0.88,1.03,1.02,0.97,0.81,1.59,7.32,0.6
PM10_1,1.21,1.18,1.52,0.93,0.97,1.07,2.62,0.46,0.24,13.5
