,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.0,0.96,,,1.02,0.88,0.76,0.81,,,0.99,0.99,0.86,,0.99,0.83,0.8,0.78,0.74,0.74,0.52,0.51,1.08,0.9
TEMP_0_0,1.04,1.0,,,1.05,0.88,0.87,0.84,,,0.99,1.0,0.87,,1.01,0.88,0.84,0.82,0.79,0.76,0.6,0.5,1.13,0.96
TEMP_1_1,,2.35,1.0,,1.32,1.05,1.02,,,,1.22,1.27,,0.53,1.21,1.03,0.96,0.97,0.94,0.89,,,1.33,1.11
TEMP_0_2,,,,1.0,,,,,0.99,0.69,,,1.29,,1.53,1.3,1.22,1.24,1.15,1.06,,,1.71,1.36
PRES_0_0,0.99,0.94,0.76,,1.0,0.84,,0.78,,,0.97,0.98,0.86,,0.99,0.82,0.78,0.77,0.76,0.75,0.42,0.54,1.07,0.88
PRES_1_0,1.14,1.13,,,1.2,1.0,,,,,1.2,1.11,0.97,,1.12,0.97,0.95,0.95,0.83,0.8,0.72,,1.26,1.13
PRES_0_1,1.3,1.09,0.97,,,,1.0,,,,1.2,1.2,,0.52,1.18,1.02,0.94,0.94,0.93,0.87,0.67,,1.31,1.07
PRES_1_1,1.25,1.21,,,1.2,,,1.0,,,0.99,1.23,1.03,,1.15,1.05,1.0,0.99,0.91,0.92,0.89,,1.35,1.15
PRES_1_3,,,,1.03,,,,,1.0,,,,1.33,,1.58,1.35,1.35,1.28,1.21,1.18,,,1.75,1.45
PRES_1_2,,,,1.45,,,,,,1.0,,,1.82,,2.16,1.87,,,1.33,,,,2.5,1.5
DEWP_1_0,1.01,0.98,0.82,,1.04,0.85,0.83,0.95,,,1.0,1.0,0.85,,1.02,0.84,0.78,0.74,0.78,0.73,,,1.09,0.91
DEWP_0_0,1.02,0.98,0.78,,1.02,0.89,0.82,0.81,,,1.0,1.0,,,0.97,0.86,0.84,0.85,0.75,0.77,0.64,0.5,1.1,0.93
DEWP_0_1,1.15,1.15,,0.8,1.19,1.02,,0.98,0.77,0.63,,,1.0,,1.2,1.0,0.98,0.97,0.9,0.87,0.67,,1.32,1.08
DEWP_1_1,,,1.71,,,,1.75,,,,,,,1.0,2.06,1.48,1.33,,1.79,,,,2.25,
WSPM_0_1,1.0,0.98,0.8,0.65,1.02,0.88,0.83,0.85,0.65,0.48,0.98,1.02,0.85,0.42,1.0,0.87,0.77,0.82,0.78,0.43,0.41,,1.1,0.9
WSPM_0_0,1.19,1.12,0.97,0.77,1.23,1.01,0.96,0.91,0.74,,1.17,1.13,0.97,,1.14,1.0,1.03,0.89,0.9,0.99,0.79,,1.29,1.04
WSPM_1_1,1.28,1.2,1.01,0.8,1.28,1.01,1.03,1.02,0.71,,1.25,1.19,0.99,,1.24,0.98,1.0,1.17,0.81,0.9,,,1.35,1.17
WSPM_1_2,1.29,1.24,1.03,0.66,1.31,1.06,1.05,1.06,0.78,,1.41,1.28,1.01,,1.21,1.1,0.78,1.0,1.11,1.32,,,1.35,1.23
WSPM_1_0,1.32,1.27,1.08,0.86,1.34,1.2,1.07,1.02,0.82,,1.28,1.31,1.1,,1.27,1.14,1.25,1.01,1.0,1.08,,,1.44,1.16
WSPM_0_2,1.41,1.32,1.27,0.96,1.36,1.2,1.29,1.1,0.85,,1.32,1.28,1.16,,2.35,1.0,1.16,0.79,1.06,1.01,,,1.48,1.27
WSPM_1_3,2.14,1.7,,,2.39,1.35,1.5,1.12,,,,1.72,1.48,,2.5,1.23,,,,,1.0,,1.94,2.16
WSPM_0_3,1.9,1.97,,,1.86,,,,,,,2.01,,,,,,,1.54,,,1.0,,1.69
PM10_0,0.93,0.89,0.74,0.58,0.93,0.79,0.76,0.74,0.56,0.38,0.91,0.91,0.75,0.43,0.9,0.78,0.75,0.75,0.69,0.7,0.53,,1.0,0.83
PM10_1,1.09,1.07,0.89,0.73,1.12,0.94,0.92,0.88,0.74,0.57,1.09,1.08,0.95,,1.12,0.87,0.81,0.76,0.83,0.76,,0.61,1.2,1.0
