,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0_1,0.98,6.84,,,0.98,1.02,0.95,1.0,0.96,1.02,1.02,1.01,1.02,1.02,0.93,0.98,1.03
PRES_0_0,,,8694.0,51.9,,,,1.0,7.25,0.23,,0.85,,,3.16,,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,6.42,1.12,1.03,1.09,149.85,0.05,0.5,0.9,1.1,0.99,1.11,1.0,0.84,1.1,1.06,1.29,1.04
DEWP_1_0,0.15,1.06,,,,669.42,3.82,7.01,0.15,1.17,,1.02,3.53,,,0.3,0.57
DEWP_0_0,0.01,0.03,,,,16.76,194.48,0.37,,1.02,,0.57,4.04,,,0.11,1.18
WSPM_0_1,0.69,1.05,0.82,,0.64,1.53,1.04,26.27,0.32,1.31,0.2,2.33,1.2,0.09,0.44,1.08,0.97
WSPM_0_2,3.85,0.51,2.45,5.55,8.23,0.11,,0.14,133.64,0.35,0.2,0.38,0.14,0.21,0.35,0.88,0.87
WSPM_0_0,0.46,1.33,,,0.89,1.19,2.01,1.39,0.26,5.65,0.26,5.31,1.55,,1.55,1.4,1.15
WSPM_0_3,,,,,,,,0.03,0.24,0.22,572.31,0.17,0.07,,0.71,0.8,1.5
WSPM_1_0,0.88,1.21,,,0.94,1.1,,1.35,0.42,2.16,0.33,1.65,1.04,,0.56,1.42,1.15
WSPM_1_1,,,,,0.32,3.25,4.2,1.74,0.32,1.39,,0.76,22.94,,1.23,1.62,1.37
WSPM_0_4,,,,,,,,0.07,,0.12,,0.09,,2439.44,,0.35,0.48
WSPM_1_2,,0.15,7.43,,,,,0.54,0.36,1.15,,0.47,1.01,2.24,344.55,,
PM10_0,1.02,0.91,1.12,1.14,1.0,1.01,1.06,1.0,1.02,1.02,0.94,1.03,1.05,0.96,1.14,6.02,0.78
PM10_1,0.66,4.56,,,2.17,0.42,,0.89,0.85,0.74,1.66,0.75,0.68,0.6,,0.36,15.9
