,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0_1,1.0,1.02,,,1.0,1.02,0.93,1.0,0.97,1.01,1.02,1.0,1.02,1.02,0.95,1.0,1.02
PRES_0_0,1.0,,67.36,,1.09,,,0.95,2.66,0.35,,0.86,,,4.02,1.04,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,1.03,1.09,1.09,0.03,0.39,0.96,1.08,0.99,1.09,1.0,0.86,1.09,1.05,1.0,1.03
DEWP_1_0,0.99,1.0,,,,11.63,3.2,1.5,0.17,1.07,,1.0,2.39,,,0.95,0.62
DEWP_0_0,0.98,0.78,,,,7.28,87.84,0.83,,1.4,,0.87,3.9,,,1.01,
WSPM_0_1,1.0,1.0,0.83,,0.95,1.48,0.91,1.66,0.17,0.93,0.12,1.13,0.87,,0.35,1.0,0.95
WSPM_0_2,1.0,0.98,2.4,5.47,1.08,0.12,,0.14,4.43,0.37,0.1,0.52,0.07,,,1.0,0.92
WSPM_0_0,1.0,1.01,,,0.99,1.11,1.6,0.94,0.35,2.47,0.26,1.99,1.79,,1.22,1.01,1.17
WSPM_0_3,1.0,1.02,,,1.09,,,,0.16,0.27,9.5,0.31,,,,0.99,1.43
WSPM_1_0,1.0,1.01,,,1.0,1.04,,1.07,0.52,1.79,0.35,1.44,1.03,,,1.0,1.04
WSPM_1_1,1.0,1.02,,,0.84,2.8,5.41,1.17,0.34,1.34,,0.76,6.6,,,1.02,1.21
WSPM_0_4,1.0,1.02,,,1.09,,,0.08,,0.15,,0.19,,22.27,,0.95,0.54
WSPM_1_2,1.0,0.91,6.79,,1.09,,,0.64,,1.26,,0.51,,,40.24,1.04,
PM10_0,1.0,1.0,1.12,1.14,1.0,1.0,1.11,1.0,1.01,1.02,0.94,1.02,1.04,0.96,1.13,1.03,0.77
PM10_1,1.0,1.01,,,1.05,0.46,,0.97,0.93,0.8,1.61,0.83,0.7,0.6,,0.87,3.36
