,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1123.5,,,,,1.41,1.08,0.53,0.59,0.73,,1.49,0.65,1.53,1.53,,1.11,0.94,0.87,0.9,0.94,0.88,0.95,1.58,1.18,,1.03,0.94
TEMP_0_1,,5088.64,,,,0.35,1.73,2.2,1.16,1.1,,469.04,,,,,0.91,0.88,1.68,1.08,1.36,1.16,1.03,,0.48,,0.98,1.19
TEMP_0_0,,,929.96,,,0.79,,1.76,3.56,2.45,,,429.6,,,,0.65,1.63,0.68,1.42,0.76,1.37,1.22,,0.97,,0.86,1.02
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.89,0.44,0.84,,,509.66,,,,0.09,,1.27,0.82,,,,1.18,0.98,0.79,1.16,1.05,1.21,1.11,0.64,0.65,,1.75,0.67
PRES_1_3,1.19,1.63,,,,,1568.4,,,,,1.92,0.52,1.01,1.46,,0.62,0.77,1.29,0.78,0.99,0.82,0.83,2.92,1.71,,0.58,1.52
PRES_1_1,0.3,2.56,1.91,8.99,,,,555.5,,0.31,,0.32,3.12,,3.33,,1.33,0.63,0.77,1.31,1.78,0.83,1.03,,1.16,,1.45,0.73
PRES_1_0,0.39,1.07,3.6,,,,,,222.25,3.17,,0.62,1.66,,,,0.6,2.13,1.3,1.05,0.37,0.96,1.27,,1.11,,1.15,0.94
PRES_0_0,0.6,0.88,2.51,,,0.07,,,3.82,109.41,,0.66,1.17,10.45,,,1.82,1.42,1.26,0.4,0.59,0.79,0.61,,,,0.4,2.98
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.32,1.47,,,,1.11,1.2,0.63,0.83,0.86,,545.97,,,,,1.17,0.91,1.18,0.97,0.84,1.03,1.02,0.87,0.72,,0.98,1.05
DEWP_0_1,0.46,,7.55,4.1,,0.77,0.5,2.35,1.51,1.2,,,540.48,,,,0.47,1.37,0.55,1.12,1.55,0.95,0.98,1.31,1.93,,1.12,0.81
DEWP_0_0,,,,,,,,,2.97,26.76,,,,2493.59,,,12.2,,,,,,,,,,0.72,1.89
DEWP_1_0,,,,,,,,,,,,,,,325.25,,29.62,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.27,0.9,0.68,,,1.26,0.6,1.22,0.81,1.47,,1.8,0.46,3.49,2.21,,205.13,0.05,,0.09,,0.07,0.23,,,,0.42,2.72
WSPM_0_1,0.89,0.87,1.49,,,0.98,0.79,0.7,1.7,1.29,,0.76,1.37,,,,0.06,52.92,0.08,0.37,0.31,0.53,1.17,,,,1.69,0.59
WSPM_0_2,0.72,1.75,0.75,,,0.72,1.42,0.74,1.24,1.03,,2.02,0.51,,,,,0.06,191.45,0.17,,0.21,0.48,,,,0.83,1.52
WSPM_0_0,0.74,1.05,1.6,,,1.24,0.74,1.39,0.97,0.62,,0.88,1.18,,,,0.06,0.32,0.19,15.53,1.05,1.86,7.02,,0.5,,5.29,0.23
WSPM_1_2,0.85,1.43,0.76,,,1.02,1.01,1.96,0.39,0.95,,0.59,1.75,,,,0.09,0.31,0.12,1.1,104.86,0.48,0.24,,,,9.01,0.23
WSPM_1_1,0.76,1.13,1.42,,,1.4,0.71,0.9,0.8,0.88,,1.07,0.97,,,,,0.73,0.4,3.52,0.45,47.9,0.73,,,,6.08,0.35
WSPM_1_0,0.94,0.93,1.24,,,1.24,0.71,1.04,1.31,0.64,,1.05,1.0,,,,0.17,0.99,0.31,8.07,0.42,1.13,6.1,,,,2.69,0.38
WSPM_0_4,189.23,,,,,0.51,6.48,,,,,0.62,1.54,5.07,,,,,,,,,,1449.11,,,0.17,8.26
WSPM_1_3,1.83,0.38,0.95,,,0.52,2.18,1.13,0.81,0.49,,0.39,2.53,,,,,,,0.24,,,,,771.18,,1.51,0.7
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.04,0.96,0.98,1.16,,1.2,0.83,1.08,0.97,0.72,,0.97,1.04,0.69,0.52,,0.67,1.18,0.88,1.31,1.36,1.27,1.23,0.4,1.2,,11.71,0.32
PM10_1,0.9,1.08,1.08,,,0.56,1.64,0.67,1.11,2.04,,1.1,0.88,2.04,2.59,,2.48,0.49,1.44,0.23,0.07,0.25,0.39,3.28,0.37,,0.11,26.72
