,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0_1,0.98,5.32,,,0.98,1.02,0.96,1.0,0.96,1.02,1.02,1.01,1.02,1.02,0.93,0.98,1.03
PRES_0_0,,,8694.0,59.75,,,,1.03,10.64,0.21,,0.79,,,4.14,,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,2.75,1.12,1.03,1.09,68.66,0.07,0.53,0.9,1.1,0.99,1.11,0.99,0.85,1.1,1.07,1.39,1.04
DEWP_1_0,0.2,1.06,,,,658.16,3.91,7.42,0.16,1.16,,1.07,3.8,,,0.26,0.62
DEWP_0_0,0.01,0.03,,,,16.48,167.61,0.58,,1.2,,0.98,3.86,,,0.08,1.76
WSPM_0_1,0.64,0.96,0.82,,0.64,1.5,0.88,21.74,0.39,1.34,0.24,3.33,1.2,0.1,0.5,1.08,1.02
WSPM_0_2,4.95,0.58,2.45,5.56,8.3,0.11,,0.2,122.34,0.42,0.27,0.41,0.23,0.28,0.48,0.7,0.84
WSPM_0_0,0.59,1.33,,,0.9,1.29,2.46,1.73,0.28,5.8,0.25,4.55,1.52,,1.53,1.42,1.1
WSPM_0_3,,,,,,,,0.05,0.3,0.22,535.65,0.16,0.08,0.29,0.79,1.18,1.33
WSPM_1_0,0.75,1.09,,,0.94,1.12,1.28,1.4,0.45,2.36,0.36,1.86,1.12,,0.8,1.62,1.18
WSPM_1_1,,,,,0.32,3.33,4.5,2.13,0.42,2.28,,1.53,22.06,,1.02,1.86,1.32
WSPM_0_4,,,,,,,,0.09,,0.13,,0.08,,2333.49,,0.36,0.49
WSPM_1_2,,0.15,7.43,,,,,0.55,0.5,0.98,,0.46,2.44,2.14,285.83,,0.23
PM10_0,1.03,0.91,1.12,1.14,1.0,1.0,1.04,0.99,1.02,1.03,0.94,1.03,1.06,0.97,1.13,4.57,0.81
PM10_1,0.63,3.41,,,2.12,0.47,0.97,0.9,0.86,0.71,1.55,0.73,0.62,0.58,,0.55,15.36
