,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1123.5,,,0.61,,1.41,1.08,0.53,0.6,0.73,,1.49,0.67,1.54,1.54,,1.11,0.93,0.87,0.89,0.94,0.87,0.92,1.58,1.17,,0.96,0.94
TEMP_0_1,,5056.22,,,,0.36,1.75,2.23,1.2,1.09,,461.05,,,,,0.91,0.89,1.72,1.16,1.39,1.18,1.07,,0.5,,1.28,1.27
TEMP_0_0,,0.05,425.64,3.09,23.580000000000002,0.8,,1.69,3.54,2.52,23.580000000000002,,195.49,,,23.580000000000002,0.62,1.67,0.66,1.35,0.75,1.45,1.34,,0.99,23.580000000000002,0.84,0.94
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.89,0.45,0.84,,3.3899999999999997,581.27,,0.06,0.07,0.17,3.3899999999999997,1.27,0.81,,,3.3899999999999997,1.2,0.98,0.8,1.16,1.08,1.2,1.11,0.63,0.65,3.3899999999999997,2.03,0.67
PRES_1_3,1.19,1.62,,,,,1551.46,,,0.05,,1.94,0.54,1.21,1.59,,0.61,0.73,1.28,0.83,0.97,0.85,0.86,2.96,1.71,,0.51,1.43
PRES_1_1,0.3,2.55,1.91,9.15,,,,310.48,0.26,0.58,,0.31,3.1,,3.32,,1.37,0.65,0.8,1.27,1.74,0.68,0.94,,1.18,,1.83,0.85
PRES_1_0,0.39,1.06,3.6,,14.549999999999999,0.03,,0.18,255.68,4.84,14.549999999999999,0.6,1.65,,,14.549999999999999,0.63,2.62,1.31,1.07,0.44,1.18,1.32,,1.15,14.549999999999999,1.15,0.98
PRES_0_0,0.6,0.87,2.51,,,0.15,0.08,0.36,5.96,112.01,,0.69,1.17,7.91,2.88,,1.64,1.36,1.19,0.4,0.51,0.67,0.58,,,,0.48,3.9
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.32,1.46,,,,1.11,1.21,0.64,0.83,0.87,,536.67,,0.25,0.39,,1.17,0.9,1.19,0.97,0.85,1.02,1.0,0.88,0.72,,1.0,1.07
DEWP_0_1,0.46,0.03,7.55,4.12,12.330000000000002,0.77,0.5,2.31,1.46,1.25,12.330000000000002,,300.93,,1.19,12.330000000000002,0.47,1.4,0.55,1.15,1.55,0.97,1.03,1.29,1.92,12.330000000000002,1.08,0.77
DEWP_0_0,,,,,,,,,5.78,23.01,,,,1887.59,97.8,,10.94,,,,,,,,,,0.43,2.73
DEWP_1_0,,,,,,,,,,,,,,,219.08,,26.57,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.27,0.89,0.64,,,1.26,0.6,1.17,0.89,1.24,,1.84,0.46,2.81,1.8,,140.34,0.15,,0.18,0.04,0.13,0.28,,,,0.44,2.72
WSPM_0_1,0.89,0.89,1.49,,7.11,0.99,0.78,0.74,1.6,1.39,7.11,0.77,1.36,,,7.11,0.18,53.7,0.21,0.85,0.73,1.0,2.03,0.14,0.34,7.11,2.42,0.63
WSPM_0_2,0.72,1.74,0.81,5.1,,0.71,1.44,0.71,1.29,0.89,,1.98,0.51,,,,0.07,0.21,159.72,0.33,0.13,0.4,0.61,,,,0.93,1.53
WSPM_0_0,0.74,1.04,1.6,,,1.25,0.76,1.39,0.91,0.73,,0.87,1.17,,,,0.12,0.53,0.51,11.84,1.29,1.9,5.8,,0.75,,3.7,0.29
WSPM_1_2,0.85,1.43,0.76,,,1.05,1.0,2.11,0.39,0.94,,0.6,1.74,,1.41,,0.23,0.75,0.24,2.43,78.27,0.98,0.48,,0.73,,8.3,0.4
WSPM_1_1,0.76,1.12,1.42,,,1.37,0.7,0.89,0.97,1.14,,1.05,0.96,,,,,0.97,0.59,3.02,0.88,35.43,1.24,0.52,,,10.22,0.48
WSPM_1_0,0.94,0.93,1.24,,,1.25,0.75,1.02,1.2,0.79,,1.05,0.99,,,,0.24,1.05,0.52,4.55,0.74,1.04,4.25,,,,2.31,0.42
WSPM_0_4,189.23,,,,,0.5,6.41,,,,,0.61,1.67,5.86,4.37,,,,,,0.18,0.17,0.06,1342.26,,,0.19,7.09
WSPM_1_3,1.83,0.38,0.95,,,0.5,2.15,1.09,0.83,0.83,,0.38,2.52,,4.64,,0.36,,0.26,0.36,,,0.12,,643.79,,0.89,1.0
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.04,0.96,0.98,1.11,3.99,1.2,0.82,1.07,0.93,0.79,3.99,0.97,1.03,0.66,0.71,3.99,0.69,1.22,0.89,1.36,1.39,1.27,1.25,0.44,1.23,3.99,11.11,0.47
PM10_1,0.9,1.07,1.09,,,0.57,1.66,0.73,1.24,1.81,,1.08,0.92,2.14,1.99,,2.45,0.44,1.34,0.25,0.05,0.3,0.4,3.11,0.31,,0.18,23.54
