holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,weather_description_cluster
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,scattered clouds.csv_0
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,broken clouds.csv_0
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,overcast clouds.csv_0
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,overcast clouds.csv_0
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,broken clouds.csv_0
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,sky is clear.csv_0
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,sky is clear.csv_0
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,sky is clear.csv_0
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,few clouds.csv_1
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,few clouds.csv_1
None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,few clouds.csv_1
None,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,sky is clear.csv_2
None,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,sky is clear.csv_2
None,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,sky is clear.csv_2
None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,sky is clear.csv_2
None,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,sky is clear.csv_2
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,sky is clear.csv_2
None,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,sky is clear.csv_2
None,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,sky is clear.csv_2
None,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,sky is clear.csv_2
None,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,sky is clear.csv_2
None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,sky is clear.csv_2
None,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,sky is clear.csv_2
None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,sky is clear.csv_2
None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,sky is clear.csv_2
None,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,sky is clear.csv_2
